KECAMATAN,2023
Besuki,39945
Bandung,49733
Pakel,55819
Campurdarat,59977
Tanggunggunung,26879
Kalidawir,78034
Pucanglaban,27134
Rejotangan,83659
Ngunut,84944
Sumbergempol,75036
Boyolangu,86579
Tulungagung,66877
Kedungwaru,95702
Ngantru,59702
Karangrejo,45381
Kauman,53235
Gondang,60744
Pagerwojo,33220
Sendang,49544
